"createdon_date","seats"
2014-01-24,1
2014-01-25,1
2014-01-26,2
2014-01-27,6
2014-01-29,1
2014-01-30,14
2014-02-01,1
2014-02-02,9
2014-02-03,7
2014-02-04,1
2014-02-05,8
2014-02-06,7
2014-02-07,2
2014-02-08,4
2014-02-09,3
2014-02-10,4
2014-02-11,10
2014-02-12,10
2014-02-13,7
2014-02-14,4
2014-02-15,5
2014-02-16,4
2014-02-17,4
2014-02-19,1
2014-02-20,7
2014-02-21,3
2014-02-22,2
2014-02-23,3
2014-02-24,8
2014-02-26,1
2014-02-28,11
2014-03-02,2
2014-03-03,3
2014-03-04,5
2014-03-06,3
2014-03-08,1
2014-03-09,2
2014-03-10,14
2014-03-11,2
2014-03-13,2
2014-03-14,2
2014-03-16,2
2014-03-18,2
2014-03-19,4
2014-03-22,1
2014-03-23,5
2014-03-24,5
2014-03-25,1
2014-03-26,1
2014-03-27,2
2014-03-28,10
2014-03-29,2
2014-03-31,3
2014-04-04,7
2014-04-05,9
2014-04-06,4
2014-04-07,4
2014-04-08,13
2014-04-09,17
2014-04-10,3
2014-04-11,7
2014-04-12,8
2014-04-13,4
2014-04-14,8
2014-04-16,4
2014-04-18,1
2014-04-20,2
2014-04-21,7
2014-04-22,2
2014-04-23,1
2014-04-24,2
2014-04-25,8
2014-04-26,2
2014-04-27,1
2014-04-28,5
2014-04-29,3
2014-04-30,3
2014-05-01,1
2014-05-02,3
2014-05-03,3
2014-05-05,4
2014-05-07,3
2014-05-08,7
2014-05-09,20
2014-05-10,2
2014-05-11,1
2014-05-12,2
2014-05-13,2
2014-05-14,3
2014-05-15,2
2014-05-16,2
2014-05-18,2
2014-05-22,1
2014-05-23,1
2014-05-27,1
2014-05-28,3
2014-06-02,1
2014-06-07,2
2014-06-09,8
2014-06-24,1
2014-06-26,1
2014-06-29,2
2014-07-01,1
2014-07-02,4
2014-07-03,2
2014-07-06,1
2014-07-07,2
2014-07-09,3
2014-07-10,11
2014-07-11,1
2014-07-12,2
2014-07-13,2
2014-07-14,2
2014-07-15,4
2014-07-16,2
2014-07-17,4
2014-07-18,1
2014-07-19,3
2014-07-21,6
2014-07-22,1
2014-07-23,8
2014-07-24,6
2014-07-25,2
2014-07-26,4
2014-07-27,5
2014-07-28,2
2014-07-30,5
2014-07-31,5
2014-08-01,1
2014-08-02,7
2014-08-03,6
2014-08-04,7
2014-08-05,2
2014-08-06,6
2014-08-07,19
2014-08-08,6
2014-08-09,2
2014-08-11,1
2014-08-12,2
2014-08-13,8
2014-08-14,2
2014-08-15,1
2014-08-17,2
2014-08-18,2
2014-08-19,8
2014-08-20,5
2014-08-21,5
2014-08-22,3
2014-08-23,1
2014-08-24,11
2014-08-25,28
2014-08-26,14
2014-08-27,5
2014-08-28,6
2014-08-29,4
2014-08-30,9
2014-08-31,7
2014-09-01,7
2014-09-02,7
2014-09-03,4
2014-09-04,5
2014-09-05,5
2014-09-06,3
2014-09-07,3
2014-09-08,1
2014-09-09,2
2014-09-10,9
2014-09-11,3
2014-09-12,3
2014-09-14,3
2014-09-15,2
2014-09-16,1
2014-09-17,8
2014-09-18,11
2014-09-19,3
2014-09-22,5
2014-09-23,7
2014-09-24,1
2014-09-25,7
2014-09-26,2
2014-09-27,6
2014-09-28,15
2014-09-29,2
2014-09-30,11
2014-10-01,10
2014-10-02,14
2014-10-03,7
2014-10-04,5
2014-10-05,8
2014-10-06,13
2014-10-07,6
2014-10-08,7
2014-10-09,16
2014-10-10,7
2014-10-11,2
2014-10-12,8
2014-10-13,12
2014-10-14,8
2014-10-15,16
2014-10-16,10
2014-10-17,4
2014-10-18,15
2014-10-20,19
2014-10-21,10
2014-10-22,14
2014-10-23,16
2014-10-24,10
2014-10-25,11
2014-10-26,33
2014-10-27,18
2014-10-28,40
2014-10-29,26
2014-10-30,26
2014-10-31,38
2014-11-01,13
2014-11-02,13
2014-11-03,38
2014-11-04,31
2014-11-05,62
2014-11-06,34
2014-11-07,35
2014-11-08,15
2014-11-09,24
2014-11-10,44
2014-11-11,38
2014-11-12,23
2014-11-13,17
2014-11-14,18
2014-11-15,17
2014-11-16,15
2014-11-17,29
2014-11-18,24
2014-11-19,19
2014-11-20,35
2014-11-21,26
2014-11-22,6
2014-11-23,19
2014-11-24,30
2014-11-25,33
2014-11-26,28
2014-11-27,42
2014-11-28,29
2014-11-29,24
2014-11-30,45
2014-12-01,56
2014-12-02,46
2014-12-03,49
2014-12-04,51
2014-12-05,34
2014-12-06,23
2014-12-07,33
2014-12-08,30
2014-12-09,41
2014-12-10,40
2014-12-11,25
2014-12-12,37
2014-12-13,25
2014-12-14,45
2014-12-15,39
2014-12-16,42
2014-12-17,52
2014-12-18,38
2014-12-19,64
2014-12-20,46
2014-12-21,43
2014-12-22,79
2014-12-23,55
2014-12-24,47
2014-12-25,100
2014-12-26,113
2014-12-27,60
2014-12-28,66
2014-12-29,76
2014-12-30,49
2014-12-31,21
2015-01-01,24
2015-01-02,48
2015-01-03,29
2015-01-04,45
2015-01-05,48
2015-01-06,68
2015-01-07,34
2015-01-08,28
2015-01-09,60
2015-01-10,38
2015-01-11,36
2015-01-12,19
2015-01-13,28
2015-01-14,22
2015-01-15,26
2015-01-16,30
2015-01-17,35
2015-01-18,39
2015-01-19,33
2015-01-20,53
2015-01-21,29
2015-01-22,31
2015-01-23,45
2015-01-24,20
2015-01-25,33
2015-01-26,50
2015-01-27,81
2015-01-28,66
2015-01-29,86
2015-01-30,101
2015-01-31,64
2015-02-01,68
2015-02-02,82
2015-02-03,72
2015-02-04,77
2015-02-05,101
2015-02-06,83
2015-02-07,55
2015-02-08,122
2015-02-09,115
2015-02-10,113
2015-02-11,117
2015-02-12,95
2015-02-13,76
2015-02-14,101
2015-02-15,121
2015-02-16,95
2015-02-17,96
2015-02-18,116
2015-02-19,84
2015-02-20,89
2015-02-21,85
2015-02-22,102
2015-02-23,112
2015-02-24,115
2015-02-25,89
2015-02-26,74
2015-02-27,90
2015-02-28,86
2015-03-01,100
2015-03-02,106
2015-03-03,105
2015-03-04,103
2015-03-05,64
2015-03-06,52
2015-03-07,83
2015-03-08,77
2015-03-09,110
2015-03-10,75
2015-03-11,57
2015-03-12,86
2015-03-13,70
2015-03-14,100
2015-03-15,91
2015-03-16,143
2015-03-17,143
2015-03-18,110
2015-03-19,80
2015-03-20,77
2015-03-21,134
2015-03-22,114
2015-03-23,75
2015-03-24,78
2015-03-25,86
2015-03-26,74
2015-03-27,98
2015-03-28,66
2015-03-29,75
2015-03-30,121
2015-03-31,117
2015-04-01,79
2015-04-02,90
2015-04-03,81
2015-04-04,62
2015-04-05,97
2015-04-06,150
2015-04-07,121
2015-04-08,97
2015-04-09,83
2015-04-10,86
2015-04-11,89
2015-04-12,65
2015-04-13,52
2015-04-14,77
2015-04-15,110
2015-04-16,104
2015-04-17,101
2015-04-18,74
2015-04-19,90
2015-04-20,99
2015-04-21,110
2015-04-22,135
2015-04-23,87
2015-04-24,129
2015-04-25,82
2015-04-26,74
2015-04-27,96
2015-04-28,102
2015-04-29,130
2015-04-30,143
2015-05-01,99
2015-05-02,99
2015-05-03,81
2015-05-04,124
2015-05-05,110
2015-05-06,94
2015-05-07,63
2015-05-08,64
2015-05-09,57
2015-05-10,72
2015-05-11,96
2015-05-12,130
2015-05-13,69
2015-05-14,120
2015-05-15,67
2015-05-16,99
2015-05-17,118
2015-05-18,111
2015-05-19,100
2015-05-20,103
2015-05-21,81
2015-05-22,131
2015-05-23,82
2015-05-24,75
2015-05-25,131
2015-05-26,99
2015-05-27,101
2015-05-28,130
2015-05-29,95
2015-05-30,57
2015-05-31,108
2015-06-01,134
2015-06-02,128
2015-06-03,131
2015-06-04,124
2015-06-05,98
2015-06-06,103
2015-06-07,96
2015-06-08,119
2015-06-09,154
2015-06-10,185
2015-06-11,171
2015-06-12,115
2015-06-13,100
2015-06-14,150
2015-06-15,190
2015-06-16,146
2015-06-17,136
2015-06-18,155
2015-06-19,200
2015-06-20,102
2015-06-21,121
2015-06-22,139
2015-06-23,143
2015-06-24,155
2015-06-25,178
2015-06-26,134
2015-06-27,206
2015-06-28,104
2015-06-29,171
2015-06-30,177
2015-07-01,130
2015-07-02,148
2015-07-03,144
2015-07-04,190
2015-07-05,185
2015-07-06,239
2015-07-07,241
2015-07-08,224
2015-07-09,230
2015-07-10,152
2015-07-11,191
2015-07-12,187
2015-07-13,214
2015-07-14,214
2015-07-15,178
2015-07-16,280
2015-07-17,277
2015-07-18,175
2015-07-19,248
2015-07-20,286
2015-07-21,273
2015-07-22,201
2015-07-23,275
2015-07-24,207
2015-07-25,242
2015-07-26,241
2015-07-27,287
2015-07-28,409
2015-07-29,278
2015-07-30,308
2015-07-31,231
2015-08-01,187
2015-08-02,174
2015-08-03,254
2015-08-04,200
2015-08-05,202
2015-08-06,254
2015-08-07,172
2015-08-08,247
2015-08-09,255
2015-08-10,247
2015-08-11,201
2015-08-12,169
2015-08-13,139
2015-08-14,180
2015-08-15,195
2015-08-16,235
2015-08-17,176
2015-08-18,107
2015-08-19,183
2015-08-20,154
2015-08-21,137
2015-08-22,171
2015-08-23,221
2015-08-24,159
2015-08-25,154
2015-08-26,173
2015-08-27,114
